id,title,location,department,industry,salary_range,work_from_home,company_logo,screening_round,employment_type,required_experience,required_education,is_authentic
17254,Head Start Bus Driver,San Francisco,Customer Service,Internet,0-0,0,1,1,Full-time,,,1
17636, Data Entry Representative,San Francisco,Sales,Education Management,35000-40000,0,1,1,Full-time,Associate,High School or equivalent,0
9308,Client Support Specialist,Sacramento,Education,Consumer Services,28000-30000,1,1,0,Full-time,Entry level,Some College Coursework Completed,1
13942,"Manager of Construction - Supervisory Exp - Houston, TX",New York,Engineering,Consumer Services,,0,0,0,Full-time,,,1
3356,Home Automation and Alarm Sales Office Launch - AT&T Digital Life,London,Sales,Internet,,0,1,0,Full-time,,,1
12258,Software Engineer,San Francisco,Education,Financial Services,,0,0,0,Full-time,,,1
9487,Beauty & Fragrance consultants needed,Athens,Education,Telecommunications,,0,1,0,,,,1
5951,English Teacher Abroad (Conversational),Sacramento,Other,Computer Software,,0,1,1,Contract,Entry level,Bachelor's Degree,1
6287,Senior .NET Analyst/Developer ,New York,Information Technology,Hospital & Health Care,,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,1
6622,Principal/Senior Mechanical Engineer (Package Equipment),London,Health Care Provider,Internet,,0,0,0,,,,0
15757,A Stable Sales Career ,Sacramento,Sales,Oil & Energy,60000-100000,0,0,0,Full-time,Not Applicable,High School or equivalent,1
6129, Accounting/Bookkeeping,San Francisco,Information Technology,Education Management,,0,0,0,Temporary,Entry level,Unspecified,0
17576,Customer Service Reps,Sacramento,Education,Telecommunications,,0,0,0,Full-time,,,0
6685,Product Manager,Athens,Engineering,Internet,,0,0,1,,,,1
17818,CSR,London,Sales,Education Management,,0,0,0,Part-time,Entry level,,0
9169,Marketing superstar,Sacramento,Sales,Financial Services,,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,1
11269,Director of Content Marketing (remote/telecommute),London,Customer Service,Hospital & Health Care,100000-130000,1,1,1,Full-time,Mid-Senior level,,1
15230,Investor Development Associate,Sacramento,Education,Telecommunications,,0,1,1,Full-time,Associate,Bachelor's Degree,1
6576,Project Subcontracting Manager,New York,Information Technology,Internet,,0,0,0,,,,0
7384,Web Developer,Athens,Other,Computer Software,,0,1,1,,,,1
2951,Java Developer,Sacramento,Design,Hospital & Health Care,,0,1,1,Full-time,,,1
13854,CAD Operator,London,Design,Hospital & Health Care,,0,1,0,,,,1
653,Graduates: English Teacher Abroad (Conversational),Sacramento,Education,Consumer Services,,0,1,1,Contract,Entry level,Bachelor's Degree,1
99,IC&E Technician,New York,Customer Service,Computer Software,95000-115000,0,1,1,Full-time,Mid-Senior level,High School or equivalent,0
7235,Technical Writer / Instructional Designer,Sacramento,Information Technology,Oil & Energy,,0,1,0,,,,1
6001,Progam/Project Manager Generalist,Athens,Education,Financial Services,,0,0,1,Full-time,,,1
4779,Drinking Water/Wastewater Operator,San Francisco,Marketing,Consumer Services,,0,0,0,Part-time,Associate,,1
5230,Investor Relations Analyst,Athens,Design,Computer Software,,0,1,1,Full-time,,,1
17539,administrative assistance ,Athens,Administrative,Internet,13-20,0,0,0,Other,Entry level,High School or equivalent,0
10550,JUNIOR SUPERVISOR,Athens,Health Care Provider,Hospital & Health Care,,0,1,0,Full-time,,Master's Degree,1
15306,Battery Expert,Sacramento,Sales,Hospital & Health Care,,0,1,1,Full-time,,,1
17585,CASH Pay Jobs (Part Time Staff Wanted),London,Other,Education Management,,0,0,0,Part-time,,,0
5305,Sales Director,Athens,Education,Telecommunications,,0,0,1,,,,1
5366,Customer Service Representative,Sacramento,Other,Oil & Energy,18000-22000,0,1,1,Full-time,Entry level,Unspecified,1
7973,"Hiring Tech Lead - Linux @ Zeon Solutions, Nagpur !!!!",San Francisco,Education,Financial Services,,1,0,1,Full-time,Mid-Senior level,Bachelor's Degree,1
10114,Trainee Developer,Sacramento,Customer Service,Hospital & Health Care,,0,1,1,Full-time,Entry level,Unspecified,1
15486,Branch Business Associate,London,Marketing,Oil & Energy,,0,1,1,Full-time,Associate,High School or equivalent,1
11167,Sales Representatives,Athens,Design,Telecommunications,,1,1,0,Full-time,,,1
13849,Backend Developer,San Francisco,Other,Oil & Energy,,0,1,1,Full-time,Associate,,1
10884,Agent-Inbound Cust Svc,Athens,Design,Consumer Services,10-Oct,1,1,0,Full-time,Entry level,High School or equivalent,1
4735,Quality Assurance Manager,London,Administrative,Consumer Services,,0,1,0,,,,1
2940,Customer Assistant,San Francisco,Health Care Provider,Marketing and Advertising,,1,1,0,,,,0
17567,Clinical Director - Surgical Services  ,Athens,Sales,Consumer Services,,0,0,0,Full-time,,,0
6206,Information Systems Support Specialist  ,New York,Marketing,Information Technology and Services,,0,0,0,Full-time,,,0
14194,"Office Manager, Europe",Sacramento,Administrative,Telecommunications,,0,1,1,Full-time,Associate,Bachelor's Degree,1
6691,Market Operations Manager ,San Francisco,Marketing,Education Management,65000-85000,0,1,1,Full-time,Mid-Senior level,Some College Coursework Completed,0
17653,Clerical Assistant,San Francisco,Education,Marketing and Advertising,40000-60000,0,0,0,Full-time,Not Applicable,High School or equivalent,0
10384,Online HelpDesk Agent,San Francisco,Other,Hospital & Health Care,,0,1,1,Full-time,Entry level,High School or equivalent,1
16361,Venture Capital Associate,Athens,Administrative,Information Technology and Services,,0,1,1,Full-time,Associate,Master's Degree,1
14734,Sr. Manhattan Consultant,London,Engineering,Consumer Services,,0,0,0,Contract,Mid-Senior level,,1
9144,English Teacher Abroad (Conversational),San Francisco,Marketing,Consumer Services,,0,1,1,Contract,,Bachelor's Degree,1
156,Customer Service Professional - Property Management Industry Exp.,New York,Health Care Provider,Oil & Energy,35000-40000,0,0,0,Full-time,Associate,High School or equivalent,1
14238,Principal Field Application Engineer/Architect Job opportunity at California,London,Design,Consumer Services,130000-170000,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,1
4579,Service Associate,Athens,Information Technology,Marketing and Advertising,28000-35000,0,1,1,Full-time,Entry level,High School or equivalent,0
5245,Sales Executive,London,Engineering,Consumer Services,,0,1,0,,,,1
13143,Senior Digital Project Manager,Sacramento,Health Care Provider,Oil & Energy,,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,1
10634,Fall Analyst,London,Education,Hospital & Health Care,,0,1,0,,,,1
10139,Military Veterans Wanted for Solar Energy Construction,Athens,Design,Telecommunications,,0,1,1,,Entry level,High School or equivalent,1
14320,Lab Technician,London,Health Care Provider,Consumer Services,,0,1,0,Full-time,Associate,Bachelor's Degree,1
857,Graphic Designer,Sacramento,Health Care Provider,Hospital & Health Care,,0,1,1,Full-time,,Bachelor's Degree,1
6674,PHP Web Developer,Athens,Other,Consumer Services,,0,1,1,Full-time,,,1
16830,Java Developer ,Sacramento,Design,Consumer Services,80000-110000,0,1,0,Full-time,Associate,Bachelor's Degree,1
15031,Senior Computer Vision/Computational Imaging Engineer,San Francisco,Education,Financial Services,,0,1,0,Full-time,Mid-Senior level,,1
8452,Python Developer - Official London Travel App,London,Design,Oil & Energy,,0,1,1,Full-time,Not Applicable,Unspecified,1
16517,Title Insurance- VP of Operations & Sales- Chicago Loop,Athens,Education,Oil & Energy,90-150,0,1,0,Full-time,Director,Unspecified,1
8156,"Account Manager (Contract, maternity cover) Immediate start- agency for Jaguar land Rover)",London,Administrative,Oil & Energy,24-25,0,1,1,Contract,Mid-Senior level,Unspecified,1
10345,Customer Service Associate ,New York,Administrative,Marketing and Advertising,,0,1,0,Full-time,Entry level,High School or equivalent,1
16000,Technical Support Team Leader,Athens,Other,Hospital & Health Care,,0,1,1,Full-time,Mid-Senior level,,1
7263,Marketing Manager,London,Health Care Provider,Hospital & Health Care,40000-45000,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,1
6522,VAN DRIVER,New York,Sales,Oil & Energy,23000-28000,0,1,1,Full-time,Entry level,High School or equivalent,0
12492,Search Marketing Specialist,Athens,Engineering,Hospital & Health Care,,0,1,0,Full-time,Associate,Bachelor's Degree,1
17767,Payroll Clerk,London,Marketing,Information Technology and Services,,0,1,0,Full-time,Entry level,High School or equivalent,0
8154,Contact Center Representatives,Athens,Education,Consumer Services,,0,1,1,Full-time,Entry level,Unspecified,1
7047,Manufacturing Assembler,New York,Design,Hospital & Health Care,,0,0,0,,,High School or equivalent,1
9115,Pharmaceutical / Compound Sales Representative- Washington,Sacramento,Marketing,Oil & Energy,,0,1,1,Full-time,Associate,Unspecified,1
11116,Creative Technologist ,Sacramento,Design,Marketing and Advertising,,0,1,1,Full-time,,,1
55,Outside Sales Professional-St. Cloud,Sacramento,Marketing,Consumer Services,,0,1,0,,,,1
1893,ELECTRICAL CONTROLS ENGINEER,Athens,Health Care Provider,Hospital & Health Care,,0,0,0,,,,1
13648,Production Supervisor,Sacramento,Design,Telecommunications,,0,0,0,Full-time,,,1
13245,Senior Account Executive - Embedded Solutions,San Francisco,Administrative,Consumer Services,,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,1
17552,Data Entry / Administrative Assitstant / Admin Clerk / Office Assistant / Customer Service Rep,Sacramento,Information Technology,Information Technology and Services,,1,0,0,Full-time,Entry level,Unspecified,0
670,"Account Executive - San Antonio, TX",Sacramento,Other,Consumer Services,,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,1
16526,Home Visitor - Early Head Start,Athens,Customer Service,Financial Services,,0,1,1,Full-time,,,1
14114,"Front End Hacker (JS, HTML, CSS)",Athens,Other,Oil & Energy,,0,1,1,Full-time,Associate,Unspecified,1
17615,Junior Sales Rep  ,Athens,Information Technology,Education Management,,0,0,0,Full-time,,,0
7758,Healthcare Support Rep,New York,Marketing,Financial Services,,0,1,0,Full-time,,,1
6363,Sales Executive for Content Marketing Firm,New York,Health Care Provider,Consumer Services,23000-30000,0,1,1,Full-time,Entry level,Bachelor's Degree,1
8147,Python / Django Developer,Athens,Education,Oil & Energy,,0,1,0,Full-time,Mid-Senior level,,1
15294,Software Engineer,Sacramento,Design,Hospital & Health Care,75000-120000,0,1,1,Full-time,Entry level,Unspecified,1
1914,Lead LAMP Developer,Athens,Customer Service,Internet,,0,1,0,,,,1
17618,Office Assistant III,San Francisco,Marketing,Computer Software,2000-3000,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,0
13135,Branch Manager,New York,Engineering,Telecommunications,,0,0,1,Full-time,Mid-Senior level,Unspecified,1
7546,Director of Assessment,Athens,Engineering,Telecommunications,,0,1,0,Full-time,,,1
5512,Payroll Data Coordinator Positions - Earn $100-$200 Daily ,Sacramento,Information Technology,Computer Software,,0,0,0,,,,0
17597,"Account Manager $80-$130,000/yr",London,Information Technology,Marketing and Advertising,,0,1,0,Full-time,Associate,High School or equivalent,0
3713,Entry Level with BBB A+ Company-Training Provided-Leadership Training,New York,Other,Computer Software,35000-65000,0,1,1,Full-time,Entry level,High School or equivalent,1
4530,Editorial Production Assistant,New York,Administrative,Consumer Services,,0,1,1,Full-time,Associate,Bachelor's Degree,1
8421,Lead Business Analyst,London,Sales,Computer Software,,0,0,0,Contract,Mid-Senior level,,0
14558,Runway Trend Assistant Intern,New York,Information Technology,Financial Services,,0,1,1,,,,1
11703,Business Analyst - Product,Sacramento,Design,Education Management,,0,1,1,Full-time,,,1
13152,Business Development Manager,Athens,Design,Information Technology and Services,,0,1,1,Full-time,Associate,Bachelor's Degree,1
4595, MAIL CLERK,London,Sales,Internet,23000-28000,0,1,1,Full-time,Entry level,High School or equivalent,0
12984,Tourism Content Writer - Freelance,Sacramento,Education,Consumer Services,,1,1,1,Contract,Not Applicable,Unspecified,1
9828,Back-end Developer - Financial/Retirement Modeling Tools,Athens,Information Technology,Consumer Services,65000-85000,1,1,1,Full-time,Associate,Bachelor's Degree,1
5176,10x Client Support - 1 year fixed term,London,Sales,Consumer Services,,0,1,1,Full-time,Associate,Unspecified,1
6107,Sales Business Development Executive,Athens,Design,Hospital & Health Care,,0,1,0,Full-time,Entry level,Bachelor's Degree,1
17747,Network Marketing,Sacramento,Engineering,Computer Software,7200-1380000,0,0,0,Full-time,Not Applicable,Unspecified,0
10181,Business Development Manager,Sacramento,Design,Education Management,,0,1,0,,,,1
14337,Business Development Associate,Sacramento,Engineering,Oil & Energy,36000-60000,0,1,1,Full-time,Associate,Bachelor's Degree,1
2134,Information Architect / UX Designer,Sacramento,Health Care Provider,Telecommunications,,0,1,1,Contract,Associate,,1
16125,"Account Executive, Software Sales",New York,Administrative,Telecommunications,,0,1,0,Full-time,Associate,Bachelor's Degree,1
16721,Benefits Consultant,Athens,Health Care Provider,Hospital & Health Care,,0,1,0,,,,1
4403,Sales Representative,Sacramento,Customer Service,Marketing and Advertising,30000-60000,1,1,0,Full-time,Entry level,High School or equivalent,0
11505,Beauty & Fragrance consultants needed,Sacramento,Education,Marketing and Advertising,,0,1,0,,,,1
17627,Data Center Migration App Lead for FULL-TIME Opportunity.,New York,Marketing,Information Technology and Services,0-0,0,0,0,Full-time,Director,Bachelor's Degree,0
11531,Field Operations Specialist,San Francisco,Sales,Telecommunications,,0,1,0,Full-time,Director,Bachelor's Degree,1
17790,customer service rep,Athens,Information Technology,Information Technology and Services,,0,0,1,,,,0
78,Mid-Senior .NET or Xamarin Developer,London,Education,Consumer Services,75-115,0,0,0,Full-time,Mid-Senior level,Bachelor's Degree,1
17617, CNC Programmer,New York,Information Technology,Information Technology and Services,,0,0,0,Full-time,,Bachelor's Degree,0
2445,Urgent Requirement For The Position Technical Lead - Rhomobile Technical Mobility Lead Developer,London,Marketing,Education Management,55-65,0,0,1,Contract,Mid-Senior level,Bachelor's Degree,0
4805,Administration,Sacramento,Other,Marketing and Advertising,2500-5000,0,0,1,Full-time,Not Applicable,Unspecified,0
9099,Restaurant Manager,London,Customer Service,Education Management,,0,1,0,,,,0
3417,Product & Service Testers,New York,Education,Hospital & Health Care,30000-50000,1,1,0,Full-time,Not Applicable,High School or equivalent,1
31,Customer Service Technical Specialist ,Athens,Health Care Provider,Financial Services,,0,1,0,Full-time,Entry level,High School or equivalent,1
9230,Minnesota Part time Maintenance,San Francisco,Design,Telecommunications,,0,1,1,,,High School or equivalent,1
5084,Director Nursing Telemetry (hospital near West Los Angeles),New York,Design,Hospital & Health Care,,0,0,0,Full-time,Director,Bachelor's Degree,1
11050,English Teacher Abroad,London,Design,Oil & Energy,,0,1,1,Contract,,Bachelor's Degree,1
13804,Chelmsford Driving Goods Vehicle Apprenticeship Under NAS 16-18 Year Olds Only,London,Design,Information Technology and Services,,0,1,1,Full-time,,High School or equivalent,1
10327,Data Analyst - SAS,Athens,Design,Hospital & Health Care,,0,1,0,,,,1
10840,Driver - Heavy Duty (Phoenix),Athens,Education,Information Technology and Services,,0,1,1,,,,1
16738,Social media intern,Athens,Education,Hospital & Health Care,,0,1,1,,,,1
15920,Growth Hacker,Sacramento,Administrative,Hospital & Health Care,,0,1,1,Full-time,,Bachelor's Degree,1
16740,Customer Service Agent From Home,Athens,Education,Oil & Energy,20000-30000,0,1,0,Full-time,Entry level,High School or equivalent,1
1010,Release Manager,Sacramento,Education,Telecommunications,,0,1,0,Full-time,,,1
16800,Sr. Staff Accountant,London,Health Care Provider,Computer Software,,0,0,1,Full-time,Mid-Senior level,Bachelor's Degree,1
6833,DevOps Engineer,Athens,Administrative,Oil & Energy,80000-100000,0,1,1,Full-time,Mid-Senior level,Unspecified,1
2184, CAD Operator,Sacramento,Information Technology,Education Management,,0,1,0,Full-time,,,0
17755,Payroll Administrative Assistant,San Francisco,Information Technology,Internet,48000-65000,0,0,0,Full-time,Entry level,High School or equivalent,0
5893,Sales Manager,Athens,Education,Oil & Energy,,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,1
11431,NGL Commercial Analyst,London,Education,Consumer Services,,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,1
2332,Talent Sourcing Specialist,San Francisco,Administrative,Telecommunications,,0,1,0,Full-time,Associate,Unspecified,1
12375,Caregiver,Athens,Health Care Provider,Financial Services,,0,0,0,Part-time,Entry level,,1
806,Data Software Engineer,Sacramento,Health Care Provider,Financial Services,,0,1,0,Full-time,Associate,Bachelor's Degree,1
1062,Quality Assurance Engineer,New York,Sales,Telecommunications,36000-48000,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,1
14020,Front-End Engineer,Athens,Other,Hospital & Health Care,,0,1,0,Full-time,Associate,,1
5927,Assistant Accountant,San Francisco,Engineering,Computer Software,25000-30000,0,0,0,Part-time,,,0
16295,"Order Processing Coordinator @ PGI, a Food Production Company",Sacramento,Design,Financial Services,,0,1,0,Full-time,Entry level,High School or equivalent,1
17717,Sales associate Home Security,London,Engineering,Financial Services,35000-75000,0,0,1,Contract,Associate,High School or equivalent,0
5184,Engagement Manager,New York,Health Care Provider,Financial Services,,0,1,1,Full-time,,Master's Degree,1
14134,Subsea Process System Engineer,San Francisco,Marketing,Marketing and Advertising,,0,0,0,,,,0
16193,"Home Health Aid - Granger, WA",London,Health Care Provider,Financial Services,,0,1,0,,,,1
4830,"Java/Scala Architect, Technical Project Manager International Systems",Sacramento,Health Care Provider,Consumer Services,130000-160000,0,1,0,Full-time,Director,Bachelor's Degree,1
12667,Substance Abuse Counselor (Danville Center),New York,Design,Oil & Energy,,0,1,1,Full-time,Associate,Bachelor's Degree,1
17824,Sales Person Required,London,Health Care Provider,Computer Software,0-30000,0,0,0,Other,Not Applicable,Unspecified,0
9973,Controller,New York,Health Care Provider,Consumer Services,,0,1,0,,,,1
8209,Graduate Marketing Executive ,Athens,Sales,Financial Services,14000-15000,0,1,1,Full-time,Entry level,Bachelor's Degree,1
2338,Publicist ,New York,Education,Hospital & Health Care,,0,0,1,Contract,Mid-Senior level,Bachelor's Degree,1
7947,UX Designer with a passion simple design,Athens,Health Care Provider,Oil & Energy,25000-25000,1,0,0,Contract,Mid-Senior level,,1
14312,Report specialist,New York,Education,Oil & Energy,,0,1,0,Full-time,Entry level,,1
4935,Substance Abuse Counselor,New York,Education,Hospital & Health Care,,0,0,0,,,,1
17321,Inside Sales,San Francisco,Education,Financial Services,40000-55000,0,1,0,Full-time,Not Applicable,,1
11076,English Teacher Overseas,Athens,Health Care Provider,Hospital & Health Care,,0,1,1,Contract,,Bachelor's Degree,1
15123,Brand ambassador,San Francisco,Administrative,Telecommunications,300000-500000,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,1
8232,Service Desk Engineer,Sacramento,Education,Telecommunications,,0,1,1,Full-time,Entry level,Certification,1
1405,Customer Success Manager,Athens,Customer Service,Consumer Services,,0,1,0,Full-time,,Bachelor's Degree,1
17593,Home Based Payroll Typist/Data Entry Clerks Positions Available,London,Marketing,Education Management,,0,0,0,,,,0
4047,Ruby on Rails Developer,Sacramento,Health Care Provider,Information Technology and Services,,0,1,1,Full-time,Not Applicable,Unspecified,1
16074,Regional Field Sales Representative,Sacramento,Health Care Provider,Computer Software,,0,0,0,Full-time,,,1
3251,Project Manager,Athens,Engineering,Telecommunications,,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,1
6706,Technical Support Representative ,Sacramento,Other,Oil & Energy,,0,1,0,Full-time,Entry level,High School or equivalent,1
5503,Home Based Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,Sacramento,Engineering,Marketing and Advertising,,0,0,0,,,,0
3974,Content Strategist,Sacramento,Administrative,Education Management,,0,1,0,Full-time,Associate,Bachelor's Degree,1
14484,Customer Success Manager,San Francisco,Information Technology,Hospital & Health Care,45000-45000,1,0,0,Full-time,Entry level,,1
17570,"CASH JOBS, Part Time Workers Needed.",San Francisco,Administrative,Information Technology and Services,,0,0,0,Part-time,,,0
4217,Product Manager,London,Education,Oil & Energy,,0,1,1,Full-time,Associate,,1
2159,Semiconductor IP Design Experts,Sacramento,Health Care Provider,Financial Services,,0,1,0,,,,1
12572,Specialized Systems Engineer,Sacramento,Information Technology,Oil & Energy,,0,0,1,Full-time,Mid-Senior level,,1
14474,Photonic Integrated Circuits,Sacramento,Administrative,Information Technology and Services,,0,1,1,,,,1
1930,QA Engineer,San Francisco,Health Care Provider,Internet,,0,1,0,Full-time,Associate,,1
174,Technician Instrument & Controls ,London,Sales,Education Management,,0,1,1,Full-time,Mid-Senior level,Certification,0
17699,administrative assistant,San Francisco,Information Technology,Information Technology and Services,15-19,0,0,0,Full-time,Entry level,Unspecified,0
4184,CUSTOMER SERVICES REP( FULL TIME POSITION),Sacramento,Customer Service,Marketing and Advertising,35000-40000,0,1,1,Full-time,Entry level,High School or equivalent,0
11459,Leighton Buzzard DGV Apprenticeship available under NAS 18 year olds only!,Sacramento,Health Care Provider,Financial Services,,0,1,1,,Not Applicable,High School or equivalent,1
5525,Personal Assistant Part Time..$300 Weekly,Athens,Marketing,Education Management,,1,0,0,,,,0
11425,Data Operations Specialist,New York,Education,Hospital & Health Care,,0,1,0,Full-time,,,1
8506,Youth Case Management Worker,London,Other,Hospital & Health Care,,0,1,1,Contract,Entry level,Bachelor's Degree,1
6388,Acquire Users / Customers (Marketing & Sales),Athens,Sales,Consumer Services,,0,1,0,,,,1
7770,Part-time Illustrator for Kids Tutorials,Athens,Other,Hospital & Health Care,25000-40000,1,1,1,Part-time,Entry level,,1
7243,Embedded Systems Developer,New York,Design,Consumer Services,,0,1,0,Full-time,Mid-Senior level,,1
16161,IT Security Analyst,London,Education,Hospital & Health Care,,0,0,0,Full-time,,,1
7345,Senior System Engineering Manager ,New York,Information Technology,Marketing and Advertising,,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
13950,TIBCO Spotfire Consultant,Athens,Health Care Provider,Oil & Energy,,0,1,1,Full-time,Not Applicable,,1
3808,Administrative Assistant/Receptionist ,Athens,Information Technology,Information Technology and Services,1000-6000,0,1,0,Full-time,Not Applicable,High School or equivalent,0
12918,Internship,Sacramento,Administrative,Consumer Services,,0,1,0,,,,1
5524,Home Based Payroll Typist/Data Entry Clerks Positions Available,Sacramento,Engineering,Information Technology and Services,,0,0,0,,,,0
914,Organic & Analytical Chemist,Sacramento,Education,Marketing and Advertising,65000-75000,0,0,0,Full-time,Associate,Bachelor's Degree,1
4268,Web Developer,Athens,Other,Financial Services,,0,1,1,,,,1
10962,Lead Software Engineer - Web,London,Information Technology,Computer Software,,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,0
10060,Product Analyst,New York,Health Care Provider,Computer Software,,0,1,1,Full-time,Mid-Senior level,,1
437,English Teacher Abroad ,San Francisco,Administrative,Hospital & Health Care,,0,1,1,Contract,,Bachelor's Degree,1
2075,Growth Analyst ,Athens,Health Care Provider,Education Management,,0,1,0,,,,1
8566,Outside Sales Professional-Springfield,Athens,Design,Consumer Services,,0,1,0,,,,1
6964,Infrastructure Specialist AIXUNIX,San Francisco,Administrative,Financial Services,20000-50000,0,1,0,Contract,Associate,,1
10204,Marketing Intern,Sacramento,Administrative,Information Technology and Services,,0,1,0,Part-time,Internship,Bachelor's Degree,1
1537,Sales Consultant,New York,Administrative,Consumer Services,,1,0,0,,,,1
17796,Home Based Payroll Typist/Data Entry Clerks Positions Available,London,Sales,Marketing and Advertising,,0,0,0,,,,0
4825,Asistente Administrativo,Athens,Other,Financial Services,,0,1,0,Temporary,Entry level,High School or equivalent,1
8094,Customer Service Associate ,New York,Health Care Provider,Telecommunications,,0,1,0,Full-time,Entry level,High School or equivalent,1
5181,"Graphic Artist, Persian Language",Athens,Engineering,Hospital & Health Care,,0,1,0,,,,1
17749,Administrative,London,Customer Service,Telecommunications,,0,0,0,Full-time,Entry level,,0
16167,Process Engineer,Athens,Design,Computer Software,,0,0,0,Full-time,,,1
7403,Content Writer Consultant,New York,Other,Hospital & Health Care,,0,1,0,Part-time,,,1
4171,Graduate Java Software Developer,Athens,Engineering,Consumer Services,,0,1,0,Full-time,Entry level,,1
16192,Middleweight Web Designer,Athens,Education,Hospital & Health Care,,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,1
17716,Data Entry Admin/Clerical Positions - Work From Home,New York,Engineering,Education Management,,0,0,0,,,,0
17799,Vacancies At The Cafe Royal Hotel London,New York,Engineering,Marketing and Advertising,,0,0,0,,,,0
8648,Payroll Clerk,San Francisco,Other,Internet,,0,1,0,Full-time,Entry level,High School or equivalent,0
